r,g,b,lang_code,human
0,255,182,zh,青
255,246,0,zh,黄
0,255,75,zh,荧光绿
0,158,255,zh,天蓝
255,0,163,zh,玫红
255,77,0,zh,橘红
0,255,125,zh,青绿
117,255,0,zh,草绿
46,0,255,zh,宝蓝
0,168,255,zh,天蓝
0,255,245,zh,青
255,0,124,zh,玫红
221,0,255,zh,紫红
0,124,255,zh,蓝
196,255,0,zh,黄绿
255,114,0,zh,橙
0,62,255,zh,深蓝
255,148,0,zh,橘黄
0,227,255,zh,浅天蓝
255,0,182,zh,玫红
166,0,255,zh,紫
255,204,0,zh,鹅黄
255,174,0,zh,黄
0,107,255,zh,蓝
0,73,255,zh,蓝
255,0,46,zh,红
255,0,82,zh,红
0,239,255,zh,浅天蓝
0,255,93,zh,荧光绿
255,0,53,zh,红
255,218,0,zh,黄
151,0,255,zh,紫
144,255,0,zh,草绿
0,255,217,zh,青
255,0,220,zh,玫红
0,195,255,zh,天蓝
0,255,140,zh,水绿
134,255,0,zh,黄绿
98,0,255,zh,蓝紫
0,74,255,zh,蓝
255,102,0,zh,橙
99,255,0,zh,鲜绿
255,0,39,zh,西瓜红
0,96,255,zh,浅蓝
255,242,0,zh,黄
252,0,255,zh,紫红
0,255,116,zh,水绿
0,49,255,zh,蓝
0,255,48,zh,鲜绿
255,0,166,zh,桃红
0,255,240,zh,蓝绿
0,255,177,zh,浅绿
255,0,209,zh,玫红
255,193,0,zh,鹅黄
0,172,255,zh,湖蓝
255,0,61,zh,西瓜红
255,75,0,zh,橙
255,144,0,zh,橘黄
23,0,255,zh,蓝
252,255,0,zh,柠檬黄
0,184,255,zh,浅蓝
184,0,255,zh,亮紫
0,119,255,zh,蓝
0,224,255,zh,湖蓝
255,0,229,zh,玫红
0,150,255,zh,浅蓝
0,246,255,zh,青
208,255,0,zh,黄绿
255,0,129,zh,桃红
0,255,191,zh,浅绿
255,157,0,zh,鹅黄
255,0,94,zh,西瓜红
255,211,0,zh,黄
255,0,225,zh,紫红
255,0,89,zh,桃红
0,255,47,zh,青绿
255,0,189,zh,紫红
0,238,255,zh,浅蓝
